Subject,Sequence,Sentence,Boundary,SpeechRate,TokenNumber,LLy_ConstrictionDur,LLy_Max
K10,apa,아바이 동무는 북한말이야,Within-word,fast,1,14,-15.4
K10,apa,아바이 동무는 북한말이야,Within-word,fast,2,14,-14.6
K10,apa,아바이 동무는 북한말이야,Within-word,fast,3,11.1,-15.1
K10,apa,아바이 동무는 북한말이야,Within-word,fast,4,14,-15.6
K10,apa,아바이 동무는 북한말이야,Within-word,fast,5,12,-15.5
K10,apa,아바이 동무는 북한말이야,Within-word,fast,6,10,-14.2
K10,apa,아바이 동무는 북한말이야,Within-word,fast,7,12,-15.1
K10,apa,아바이 동무는 북한말이야,Within-word,fast,8,12,-14.2
K10,apa,아바이 동무는 북한말이야,Within-word,comf,1,28,-14.8
K10,apa,아바이 동무는 북한말이야,Within-word,comf,2,16,-14.7
K10,apa,아바이 동무는 북한말이야,Within-word,comf,3,22,-14
K10,apa,아바이 동무는 북한말이야,Within-word,comf,4,24,-13.2
K10,apa,아바이 동무는 북한말이야,Within-word,comf,5,23.7,-13.8
K10,apa,아바이 동무는 북한말이야,Within-word,comf,6,16,-15
K10,apa,아바이 동무는 북한말이야,Within-word,comf,7,28,-13.2
K10,apa,아바이 동무는 북한말이야,Within-word,comf,8,24,-15.3
K10,apa,전아 바가지를 팔아,across word,fast,1,9.5,-18.8
K10,apa,전아 바가지를 팔아,across word,fast,2,12,-19.5
K10,apa,전아 바가지를 팔아,across word,fast,3,10,-19.9
K10,apa,전아 바가지를 팔아,across word,fast,4,9.1,-19.7
K10,apa,전아 바가지를 팔아,across word,fast,5,10,-18.9
K10,apa,전아 바가지를 팔아,across word,fast,6,14,-19.1
K10,apa,전아 바가지를 팔아,across word,fast,7,12,-18.7
K10,apa,전아 바가지를 팔아,across word,fast,8,10,-19.1
K10,apa,전아 바가지를 팔아,across word,comf,1,38,-13.8
K10,apa,전아 바가지를 팔아,across word,comf,2,36,-14.3
K10,apa,전아 바가지를 팔아,across word,comf,3,16,-14.6
K10,apa,전아 바가지를 팔아,across word,comf,4,18,-15.2
K10,apa,전아 바가지를 팔아,across word,comf,5,18,-15.4
K10,apa,전아 바가지를 팔아,across word,comf,6,26,-15
K10,apa,전아 바가지를 팔아,across word,comf,7,20,-13.4
K10,apa,전아 바가지를 팔아,across word,comf,8,44,-15.5
K12,apa,아바이 동무는 북한말이야,Within-word,fast,1,12,-16.6
K12,apa,아바이 동무는 북한말이야,Within-word,fast,2,14,-15.5
K12,apa,아바이 동무는 북한말이야,Within-word,fast,3,13.8,-15.7
K12,apa,아바이 동무는 북한말이야,Within-word,fast,4,16,-15.5
K12,apa,아바이 동무는 북한말이야,Within-word,fast,5,14,-17.1
K12,apa,아바이 동무는 북한말이야,Within-word,fast,6,18,-16.3
K12,apa,아바이 동무는 북한말이야,Within-word,fast,7,14,-14.6
K12,apa,아바이 동무는 북한말이야,Within-word,fast,8,14,-15.5
K12,apa,아바이 동무는 북한말이야,Within-word,comf,1,16,-17.2
K12,apa,아바이 동무는 북한말이야,Within-word,comf,2,22,-14.3
K12,apa,아바이 동무는 북한말이야,Within-word,comf,3,14,-15.1
K12,apa,아바이 동무는 북한말이야,Within-word,comf,4,16,-13.6
K12,apa,아바이 동무는 북한말이야,Within-word,comf,5,14,-15.5
K12,apa,아바이 동무는 북한말이야,Within-word,comf,6,20,-15.4
K12,apa,아바이 동무는 북한말이야,Within-word,comf,7,12,-15.7
K12,apa,아바이 동무는 북한말이야,Within-word,comf,8,14,-15.7
K12,apa,전아 바가지를 팔아,across word,fast,1,12,-14.5
K12,apa,전아 바가지를 팔아,across word,fast,2,10,-15.4
K12,apa,전아 바가지를 팔아,across word,fast,3,14,-15.3
K12,apa,전아 바가지를 팔아,across word,fast,4,10,-15.6
K12,apa,전아 바가지를 팔아,across word,fast,5,12,-13.9
K12,apa,전아 바가지를 팔아,across word,fast,6,14,-14.9
K12,apa,전아 바가지를 팔아,across word,fast,7,14,-13.3
K12,apa,전아 바가지를 팔아,across word,fast,8,14,-14
K12,apa,전아 바가지를 팔아,across word,comf,1,17.6,-15.8
K12,apa,전아 바가지를 팔아,across word,comf,2,14,-14.5
K12,apa,전아 바가지를 팔아,across word,comf,3,10,-15.8
K12,apa,전아 바가지를 팔아,across word,comf,4,12,-16
K12,apa,전아 바가지를 팔아,across word,comf,5,12,-17.1
K12,apa,전아 바가지를 팔아,across word,comf,6,14,-16.8
K12,apa,전아 바가지를 팔아,across word,comf,7,14,-15.4
K12,apa,전아 바가지를 팔아,across word,comf,8,14,-15.7
K14,apa,아바이 동무는 북한말이야,Within-word,fast,1,13.2,-17
K14,apa,아바이 동무는 북한말이야,Within-word,fast,2,12,-18.2
K14,apa,아바이 동무는 북한말이야,Within-word,fast,3,12,-19.3
K14,apa,아바이 동무는 북한말이야,Within-word,fast,4,15.1,-18.1
K14,apa,아바이 동무는 북한말이야,Within-word,fast,5,12,-17.8
K14,apa,아바이 동무는 북한말이야,Within-word,fast,6,20,-18.2
K14,apa,아바이 동무는 북한말이야,Within-word,fast,7,18,-17.3
K14,apa,아바이 동무는 북한말이야,Within-word,fast,8,12,-19
K14,apa,아바이 동무는 북한말이야,Within-word,comf,1,22,-13.9
K14,apa,아바이 동무는 북한말이야,Within-word,comf,2,20,-13.3
K14,apa,아바이 동무는 북한말이야,Within-word,comf,3,16,-13.9
K14,apa,아바이 동무는 북한말이야,Within-word,comf,4,17.6,-14.7
K14,apa,아바이 동무는 북한말이야,Within-word,comf,5,18.5,-13.6
K14,apa,아바이 동무는 북한말이야,Within-word,comf,6,20,-14
K14,apa,아바이 동무는 북한말이야,Within-word,comf,7,24,-13.9
